_ConceptURI;_ConceptType;_ConceptPT;_ConceptPT (@REF_LN);_Definition
http://ec.europa.eu/esco/skill/19891;SK;Alphabetic data recording;Alphabetic data recording [@en];
http://ec.europa.eu/esco/skill/23081;SK;Alto saxophone playing;Alto saxophone playing [@en];
http://ec.europa.eu/esco/skill/23461;SK;Alto viola playing;Alto viola playing [@en];
http://ec.europa.eu/esco/skill/23477;SK;Alto voice;Alto voice [@en];
http://ec.europa.eu/esco/skill/23798;SK;Aluminium;Aluminium [@en];
http://ec.europa.eu/esco/skill/23895;SK;Amadeus (travel reservation system);Amadeus (travel reservation system) [@en];
http://ec.europa.eu/esco/skill/23579;SK;Ambulance care (nursing);Ambulance care (nursing) [@en];
http://ec.europa.eu/esco/skill/14416;SK;American football (training/coaching);American football (training/coaching) [@en];
http://ec.europa.eu/esco/skill/23902;SK;Ammonia refrigerating;Ammonia refrigerating [@en];
http://ec.europa.eu/esco/skill/16595;SK;Ammunitions knowledge;Ammunitions knowledge [@en];
http://ec.europa.eu/esco/skill/17374;SK;Ammunition work;Ammunition work [@en];
http://ec.europa.eu/esco/skill/20810;SK;Amperometry;Amperometry [@en];
http://ec.europa.eu/esco/skill/18170;SK;AMPS system;AMPS system [@en];
http://ec.europa.eu/esco/skill/14820;SK;Anaesthesiology (medico-technical engineering);Anaesthesiology (medico-technical engineering) [@en];
http://ec.europa.eu/esco/skill/22298;SK;Anaesthesiology (teaching);Anaesthesiology (teaching) [@en];
http://ec.europa.eu/esco/skill/15610;SK;Anaesthetics and intensive care;Anaesthetics and intensive care [@en];
http://ec.europa.eu/esco/skill/23670;SK;Analogue design;Analogue design [@en];
http://ec.europa.eu/esco/skill/23917;SK;Analogue electronics;Analogue electronics [@en];
http://ec.europa.eu/esco/skill/23121;SK;Analogue video camera technology;Analogue video camera technology [@en];
http://ec.europa.eu/esco/skill/367547;SG;Analyse the problem;Analyse the problem [@en];
http://ec.europa.eu/esco/skill/23522;SK;Analysis technology;Analysis technology [@en];
http://ec.europa.eu/esco/skill/23493;SK;Analytical chemistry;Analytical chemistry [@en];
http://ec.europa.eu/esco/skill/20864;SK;Analytical chemistry (teaching);Analytical chemistry (teaching) [@en];
http://ec.europa.eu/esco/skill/18055;SK;Anatomy (teaching);Anatomy (teaching) [@en];
http://ec.europa.eu/esco/skill/16521;SK;Ancient archaeology;Ancient archaeology [@en];
http://ec.europa.eu/esco/skill/19083;SK;Ancient Greek (teaching);Ancient Greek (teaching) [@en];
http://ec.europa.eu/esco/skill/16514;SK;Ancient history (teaching);Ancient history (teaching) [@en];
http://ec.europa.eu/esco/skill/20302;SK;Ancient monument records;Ancient monument records [@en];
http://ec.europa.eu/esco/skill/19789;SK;Ancient monuments inventory;Ancient monuments inventory [@en];
http://ec.europa.eu/esco/skill/14477;SK;Angling (training/coaching);Angling (training/coaching) [@en];
http://ec.europa.eu/esco/skill/16181;SK;Animal experiment methods;Animal experiment methods [@en];
http://ec.europa.eu/esco/skill/20873;SK;Animal hospital;Animal hospital [@en];
http://ec.europa.eu/esco/skill/23527;SK;Animal husbandry (farming);Animal husbandry (farming) [@en];
http://ec.europa.eu/esco/skill/22231;SK;Animal husbandry (providing training);Animal husbandry (providing training) [@en];
http://ec.europa.eu/esco/skill/21601;SK;Animal protection;Animal protection [@en];
http://ec.europa.eu/esco/skill/14737;SK;Animal transport;Animal transport [@en];
http://ec.europa.eu/esco/skill/20665;SK;Animation;Animation [@en];
http://ec.europa.eu/esco/skill/18368;SK;Animation (architecture);Animation (architecture) [@en];
http://ec.europa.eu/esco/skill/18360;SK;Animation (artistic);Animation (artistic) [@en];
http://ec.europa.eu/esco/skill/18362;SK;Animation (film);Animation (film) [@en];
http://ec.europa.eu/esco/skill/18253;SK;Animation (multimedia);Animation (multimedia) [@en];
http://ec.europa.eu/esco/skill/18168;SK;Annealing;Annealing [@en];
http://ec.europa.eu/esco/skill/16457;SK;Announcing (radio);Announcing (radio) [@en];
http://ec.europa.eu/esco/skill/16445;SK;Announcing (TV);Announcing (TV) [@en];
http://ec.europa.eu/esco/skill/15326;SK;Annual accounts (public company);Annual accounts (public company) [@en];
http://ec.europa.eu/esco/skill/23828;SK;Annual accounts audit;Annual accounts audit [@en];
http://ec.europa.eu/esco/skill/14873;SK;ANSYS (CAE software);ANSYS (CAE software) [@en];
http://ec.europa.eu/esco/skill/19578;SK;Antenna design;Antenna design [@en];
http://ec.europa.eu/esco/skill/20101;SK;Antennas installation;Antennas installation [@en];
http://ec.europa.eu/esco/skill/18043;SK;Anthropology;Anthropology [@en];
http://ec.europa.eu/esco/skill/369527;SK;Anticipate needs;Anticipate needs [@en];
http://ec.europa.eu/esco/skill/23762;SK;Antique valuation;Antique valuation [@en];
http://ec.europa.eu/esco/skill/23614;SK;Antiquing;Antiquing [@en];
http://ec.europa.eu/esco/skill/20030;SK;Apache web server;Apache web server [@en];
http://ec.europa.eu/esco/skill/15839;SK;Aphasia care;Aphasia care [@en];
http://ec.europa.eu/esco/skill/14648;SK;Aphasia treatment;Aphasia treatment [@en];
http://ec.europa.eu/esco/skill/22497;SK;APL (programming language);APL (programming language) [@en];
http://ec.europa.eu/esco/skill/21641;SK;Appeals court service;Appeals court service [@en];
http://ec.europa.eu/esco/skill/19985;SK;Apple-script (programming language);Apple-script (programming language) [@en];
http://ec.europa.eu/esco/skill/19459;SK;AppleTalk (communications protocol);AppleTalk (communications protocol) [@en];
http://ec.europa.eu/esco/skill/15002;SG;Application of knowledge;Application of knowledge [@en];
http://ec.europa.eu/esco/skill/16209;SK;Application-specific Integrated Circuit (ASIC);Application-specific Integrated Circuit (ASIC) [@en];
http://ec.europa.eu/esco/skill/15166;SK;Applications programming;Applications programming [@en];
http://ec.europa.eu/esco/skill/23312;SK;Applied mathematics (teaching);Applied mathematics (teaching) [@en];
http://ec.europa.eu/esco/skill/23261;SK;Applied physics (teaching);Applied physics (teaching) [@en];
http://ec.europa.eu/esco/skill/22834;SK;Applied statistics;Applied statistics [@en];
http://ec.europa.eu/esco/skill/18283;SK;Appliqué (textiles);Appliqué (textiles) [@en];
http://ec.europa.eu/esco/skill/367638;SG;Apply mathematical concepts to work tasks;Apply mathematical concepts to work tasks [@en];
http://ec.europa.eu/esco/skill/370325;SK;Apply mathematical method;Apply mathematical method [@en];
http://ec.europa.eu/esco/skill/368984;SK;Apply quality standards;Apply quality standards [@en];
http://ec.europa.eu/esco/skill/23732;SK;Aptitude testing (recruitment);Aptitude testing (recruitment) [@en];
http://ec.europa.eu/esco/skill/16704;SK;Aquarium fish;Aquarium fish [@en];
http://ec.europa.eu/esco/skill/19079;SK;Arabic language teaching;Arabic language teaching [@en];
http://ec.europa.eu/esco/skill/21028;SK;ARCAD (architectural CAD software);ARCAD (architectural CAD software) [@en];
http://ec.europa.eu/esco/skill/21076;SK;Archaeology;Archaeology [@en];
http://ec.europa.eu/esco/skill/21568;SK;Archaeology (teaching);Archaeology (teaching) [@en];
http://ec.europa.eu/esco/skill/16706;SK;Archery (training/coaching);Archery (training/coaching) [@en];
http://ec.europa.eu/esco/skill/17180;SK;ArchiCAD;ArchiCAD [@en];
http://ec.europa.eu/esco/skill/18847;SK;Archipelago boat;Archipelago boat [@en];
http://ec.europa.eu/esco/skill/18124;SK;Architectural models;Architectural models [@en];
http://ec.europa.eu/esco/skill/14376;SG;Architecture and building;Architecture and building [@en];
http://ec.europa.eu/esco/skill/17245;SK;Archival science;Archival science [@en];
http://ec.europa.eu/esco/skill/21122;SK;Archiving;Archiving [@en];
http://ec.europa.eu/esco/skill/20193;SK;Area responsibility (care of persons with learning difficulties);Area responsibility (care of persons with learning difficulties) [@en];
http://ec.europa.eu/esco/skill/18697;SK;Area responsibility (childcare programme);Area responsibility (childcare programme) [@en];
http://ec.europa.eu/esco/skill/22853;SK;Area responsibility (correctional care);Area responsibility (correctional care) [@en];
http://ec.europa.eu/esco/skill/20163;SK;Area responsibility (cultural issues);Area responsibility (cultural issues) [@en];
http://ec.europa.eu/esco/skill/21665;SK;Area responsibility (customs issues);Area responsibility (customs issues) [@en];
http://ec.europa.eu/esco/skill/18707;SK;Area responsibility (dental services);Area responsibility (dental services) [@en];
http://ec.europa.eu/esco/skill/16125;SK;Area responsibility (educational issues);Area responsibility (educational issues) [@en];
http://ec.europa.eu/esco/skill/16161;SK;Area responsibility (embassy activities);Area responsibility (embassy activities) [@en];
http://ec.europa.eu/esco/skill/22878;SK;Area responsibility (farming);Area responsibility (farming) [@en];
http://ec.europa.eu/esco/skill/22999;SK;Area responsibility (forestry);Area responsibility (forestry) [@en];
http://ec.europa.eu/esco/skill/18888;SK;Area responsibility (geriatric care);Area responsibility (geriatric care) [@en];
http://ec.europa.eu/esco/skill/16136;SK;Area responsibility (healthcare issues);Area responsibility (healthcare issues) [@en];
http://ec.europa.eu/esco/skill/16154;SK;Area responsibility (housing and building issues);Area responsibility (housing and building issues) [@en];
http://ec.europa.eu/esco/skill/18893;SK;Area responsibility (impaired persons' welfare);Area responsibility (impaired persons' welfare) [@en];
http://ec.europa.eu/esco/skill/21596;SK;Area responsibility (labour market issues);Area responsibility (labour market issues) [@en];
http://ec.europa.eu/esco/skill/23003;SK;Area responsibility (nature conservation);Area responsibility (nature conservation) [@en];
http://ec.europa.eu/esco/skill/21651;SK;Area responsibility (policing issues);Area responsibility (policing issues) [@en];
http://ec.europa.eu/esco/skill/20187;SK;Area responsibility (recreational activities);Area responsibility (recreational activities) [@en];
http://ec.europa.eu/esco/skill/20164;SK;Area responsibility (rescue service);Area responsibility (rescue service) [@en];
http://ec.europa.eu/esco/skill/16120;SK;Area responsibility (roads and traffic issues);Area responsibility (roads and traffic issues) [@en];
http://ec.europa.eu/esco/skill/22875;SK;Area responsibility (shipping);Area responsibility (shipping) [@en];
http://ec.europa.eu/esco/skill/21306;SK;Area responsibility (social insurance issues);Area responsibility (social insurance issues) [@en];
http://ec.europa.eu/esco/skill/20143;SK;Area responsibility (social work);Area responsibility (social work) [@en];
http://ec.europa.eu/esco/skill/22884;SK;Area responsibility (surveying);Area responsibility (surveying) [@en];
http://ec.europa.eu/esco/skill/16171;SK;Area responsibility (tax issues);Area responsibility (tax issues) [@en];
http://ec.europa.eu/esco/skill/20158;SK;Area responsibility (tourism);Area responsibility (tourism) [@en];
http://ec.europa.eu/esco/skill/18886;SK;Area responsibility (welfare of persons with learning difficulties);Area responsibility (welfare of persons with learning difficulties) [@en];
http://ec.europa.eu/esco/skill/370056;SK;Argue cases;Argue cases [@en];
http://ec.europa.eu/esco/skill/15587;SK;Ariba;Ariba [@en];
http://ec.europa.eu/esco/skill/16033;SK;ARIS Platform;ARIS Platform [@en];
http://ec.europa.eu/esco/skill/20016;SK;Army conscript (providing training);Army conscript (providing training) [@en];
http://ec.europa.eu/esco/skill/22479;SK;Art (teaching);Art (teaching) [@en];
http://ec.europa.eu/esco/skill/23692;SK;Art casting;Art casting [@en];
http://ec.europa.eu/esco/skill/18005;SK;Art evaluation;Art evaluation [@en];
http://ec.europa.eu/esco/skill/20536;SK;Artificial intelligence (teaching);Artificial intelligence (teaching) [@en];
http://ec.europa.eu/esco/skill/23718;SK;Artificial limb manufacture (orthopaedic engineering);Artificial limb manufacture (orthopaedic engineering) [@en];
http://ec.europa.eu/esco/skill/18053;SK;Artificial music (instrumental performance);Artificial music (instrumental performance) [@en];
http://ec.europa.eu/esco/skill/23283;SK;Artificial music (vocal performance);Artificial music (vocal performance) [@en];
http://ec.europa.eu/esco/skill/16890;SK;Artificial stone casting;Artificial stone casting [@en];
http://ec.europa.eu/esco/skill/15294;SK;Artistic founding;Artistic founding [@en];
http://ec.europa.eu/esco/skill/18274;SK;Artistic installations;Artistic installations [@en];
http://ec.europa.eu/esco/skill/17905;SK;Artistic metal-work;Artistic metal-work [@en];
http://ec.europa.eu/esco/skill/16336;SK;Artistic painting (teaching);Artistic painting (teaching) [@en];
http://ec.europa.eu/esco/skill/15697;SK;Artists' booking agency;Artists' booking agency [@en];
http://ec.europa.eu/esco/skill/17503;SK;Art metal work;Art metal work [@en];
http://ec.europa.eu/esco/skill/16747;SG;Arts;Arts [@en];
http://ec.europa.eu/esco/skill/16302;SK;Arts and crafts/hobby materials;Arts and crafts/hobby materials [@en];
http://ec.europa.eu/esco/skill/16310;SK;Art theory (teaching);Art theory (teaching) [@en];
http://ec.europa.eu/esco/skill/23651;SK;Art valuation;Art valuation [@en];
http://ec.europa.eu/esco/skill/16288;SK;AS/400 Control Language;AS/400 Control Language [@en];
http://ec.europa.eu/esco/skill/19885;SK;Asbestos decontamination;Asbestos decontamination [@en];
http://ec.europa.eu/esco/skill/18022;SK;Asbestos decontamination (providing training);Asbestos decontamination (providing training) [@en];
http://ec.europa.eu/esco/skill/23035;SK;Asian archaeology;Asian archaeology [@en];
http://ec.europa.eu/esco/skill/370319;SK;Ask key questions;Ask key questions [@en];
http://ec.europa.eu/esco/skill/16495;SK;Asperger syndrome (care experience);Asperger syndrome (care experience) [@en];
http://ec.europa.eu/esco/skill/23400;SK;Asperger syndrome (special teaching methods);Asperger syndrome (special teaching methods) [@en];
http://ec.europa.eu/esco/skill/16195;SK;Asphalt coating;Asphalt coating [@en];
http://ec.europa.eu/esco/skill/18042;SK;Asphalt crushing;Asphalt crushing [@en];
http://ec.europa.eu/esco/skill/16152;SK;Assembler (programming language);Assembler (programming language) [@en];
http://ec.europa.eu/esco/skill/22366;SK;Assembly (electrical/telephone);Assembly (electrical/telephone) [@en];
http://ec.europa.eu/esco/skill/22332;SK;Assembly (leather);Assembly (leather) [@en];
http://ec.europa.eu/esco/skill/22335;SK;Assembly (mechanics);Assembly (mechanics) [@en];
http://ec.europa.eu/esco/skill/22323;SK;Assembly (metal);Assembly (metal) [@en];
http://ec.europa.eu/esco/skill/22312;SK;Assembly (paper/textile);Assembly (paper/textile) [@en];
http://ec.europa.eu/esco/skill/14283;SK;Assembly (plastic);Assembly (plastic) [@en];
http://ec.europa.eu/esco/skill/22358;SK;Assembly (rubber);Assembly (rubber) [@en];
http://ec.europa.eu/esco/skill/14289;SK;Assembly (wood);Assembly (wood) [@en];
http://ec.europa.eu/esco/skill/16676;SK;Assembly of parts;Assembly of parts [@en];
http://ec.europa.eu/esco/skill/370257;SK;Assess environmental impact;Assess environmental impact [@en];
http://ec.europa.eu/esco/skill/23777;SK;Assessment of amounts;Assessment of amounts [@en];
http://ec.europa.eu/esco/skill/23444;SK;Asset management;Asset management [@en];
http://ec.europa.eu/esco/skill/16174;SK;Astronomy;Astronomy [@en];
http://ec.europa.eu/esco/skill/22428;SK;ASW (business administration system);ASW (business administration system) [@en];
http://ec.europa.eu/esco/skill/16167;SK;Asylum and immigration law;Asylum and immigration law [@en];
http://ec.europa.eu/esco/skill/18969;SK;Asynchronous Transfer Mode (ATM);Asynchronous Transfer Mode (ATM) [@en];
http://ec.europa.eu/esco/skill/16592;SK;Athletics (training/coaching);Athletics (training/coaching) [@en];
http://ec.europa.eu/esco/skill/19646;SK;Atom absorption spectrophotometry (AAS);Atom absorption spectrophotometry (AAS) [@en];
http://ec.europa.eu/esco/skill/15727;SK;Atomic and molecular physics;Atomic and molecular physics [@en];
http://ec.europa.eu/esco/skill/15689;SK;ATP inspection;ATP inspection [@en];
http://ec.europa.eu/esco/skill/370271;SK;Attend to detail;Attend to detail [@en];
http://ec.europa.eu/esco/skill/368849;SK;Attend to quality;Attend to quality [@en];
http://ec.europa.eu/esco/skill/15237;SG;Attitudes;Attitudes [@en];
